tag,target,requests_ok,requests,concurrency,batch,seq_len,hidden_dim,wall_ms,throughput_rps,lat_mean_ms,lat_p50_ms,lat_p99_ms,queue_mean_ms,compute_mean_ms,other_mean_ms,req_bytes
workers1,localhost:50050,400,400,32,8,256,128,846.893,472.314,64.6456,64.2409,101.286,35.5,1.21304,27.9326,1048576
workers2,localhost:50050,400,400,32,8,256,128,704.231,567.995,53.7777,52.6582,88.5042,30.6696,1.92872,21.1794,1048576
workers3,localhost:50050,400,400,32,8,256,128,697.3,573.641,53.1295,51.6542,86.4356,31.2049,2.95013,18.9744,1048576
workers4,localhost:50050,400,400,32,8,256,128,718.249,556.91,55.1773,54.2709,85.2222,32.4512,3.91731,18.8087,1048576
workers6,localhost:50050,400,400,32,8,256,128,724.499,552.106,55.4759,54.3202,90.3878,33.2156,5.83346,16.4268,1048576
workers8,localhost:50050,400,400,32,8,256,128,732.498,546.076,55.3588,53.8574,98.8173,32.9149,7.01942,15.4244,1048576
