tag,target,requests_ok,requests,concurrency,batch,seq_len,hidden_dim,wall_ms,throughput_rps,lat_mean_ms,lat_p50_ms,lat_p99_ms,queue_mean_ms,compute_mean_ms,other_mean_ms,req_bytes
seq64,localhost:50061,200,200,16,1,64,128,26.3778,7582.12,1.99578,2.01169,4.02251,0,0.0848046,1.91097,32768
seq128,localhost:50061,200,200,16,1,128,128,33.0144,6057.97,2.50543,2.53441,4.74817,0,0.108801,2.39663,65536
seq256,localhost:50061,200,200,16,1,256,128,56.063,3567.42,4.28336,4.29759,4.99559,0,0.192951,4.09041,131072
seq512,localhost:50061,200,200,16,1,512,128,124.846,1601.97,9.56587,9.86915,10.5727,0,0.469276,9.09659,262144
seq1024,localhost:50061,80,80,16,1,1024,128,138.13,579.164,25.0032,27.1885,28.4729,0,1.42881,23.5744,524288
seq2048,localhost:50061,80,80,16,1,2048,128,468.451,170.776,84.5687,92.418,95.2249,0,5.32449,79.2442,1048576
seq4096,localhost:50061,30,30,16,1,4096,128,671.378,44.6842,267.525,335.275,357.38,0,21.1802,246.345,2097152
seq8192,localhost:50061,30,30,16,1,8192,128,2861.91,10.4825,1142.66,1423.83,1528.96,0,93.0909,1049.57,4194304
