tag,target,requests_ok,requests,concurrency,batch,seq_len,hidden_dim,wall_ms,throughput_rps,lat_mean_ms,lat_p50_ms,lat_p99_ms,queue_mean_ms,compute_mean_ms,other_mean_ms,req_bytes
b1s64,localhost:50050,150,150,1,1,64,128,1101.31,136.201,7.33582,6.01401,21.1539,6.50819,0.0876145,0.740015,32768
b4s128,localhost:50050,150,150,1,4,128,128,1334.14,112.432,8.87076,6.94633,22.6804,6.54286,0.296142,2.03176,262144
b8s256,localhost:50050,150,150,1,8,256,128,1792.68,83.6735,11.8458,10.4569,22.426,6.51852,1.19958,4.12766,1048576
b16s512,localhost:50050,150,150,1,16,512,128,4969.33,30.1852,32.5367,32.1128,43.4497,7.74165,7.22411,17.571,4194304
b32s1024,localhost:50050,150,150,1,32,1024,128,15903.6,9.43184,104.165,104.271,125.258,9.53224,46.7555,47.8775,16777216
